cityName,stateName,cityCode,locationType,aliasCityName,weightage
Bameng,Arunachal Pradesh,MMTCC41074,CITY,,5000
Kanwas,Rajasthan,MMTCC41075,CITY,,5000
Bambori,Rajasthan,MMTCC41076,CITY,,5000
Guddekoppa,Karnataka,MMTCC41077,CITY,,5000
Matha (West Bengal),West Bengal,MMTCC50305,CITY,,5000
Bhuvanagiri,Andhra Pradesh,MMTCC41079,CITY,,5000
Panchmura,West Bengal,MMTCC41080,CITY,,5000
Veppur,Tamil Nadu,MMTCC41081,CITY,,5000
Chondi (Nashik),Maharashtra,MMTCC49808,CITY,,5000
Bahadurpur (Bihar),Bihar,MMTCC49661,CITY,,5000
Kaler,Bihar,MMTCC41084,CITY,,5000
Nambal,Jammu and Kashmir,MMTCC41085,CITY,,5000
Udakishanganj,Bihar,MMTCC41086,CITY,,5000
Maharanipur,Tripura,MMTCC41087,CITY,,5000
Toopran,Telangana,MMTCC41088,CITY,,5000
Mandwi (Maharashtra),Maharashtra,MMTCC48759,CITY,,5000
Arga,Karnataka,MMTCC41090,CITY,,5000
Thanguri,Assam,MMTCC41091,CITY,,5000
Boden,Odisha,MMTCC41092,CITY,,5000
Taradevi,Himachal Pradesh,MMTCC41093,CITY,,5000
Chaukhutia,Uttar Pradesh,MMTCC41094,CITY,,5000
Kulut,West Bengal,MMTCC41095,CITY,,5000
Dhamanagar,Odisha,MMTCC41096,CITY,,5000
Chomela,Rajasthan,MMTCC41097,CITY,,5000
Patonda (Beed),Maharashtra,MMTCC49456,CITY,,5000
Digrota,Haryana,MMTCC41099,CITY,,5000
Billawar,Jammu and Kashmir,MMTCC41100,CITY,,5000
Handi,Karnataka,MMTCC41102,CITY,,5000
"Bawana,haryana",Haryana,MMTCC41103,CITY,,5000
Laban,Meghalaya,MMTCC41104,CITY,,5000
Uthukkottai,Tamil Nadu,MMTCC41105,CITY,,5000
Tirthapuri,Maharashtra,MMTCC41106,CITY,,5000
Jawara,Madhya Pradesh,MMTCC41107,CITY,,5000
Bhatta,Uttar Pradesh,MMTCC41108,CITY,,5000
Rasgovindpur,Odisha,MMTCC41109,CITY,,5000
Rupnagar,Punjab,MMTCC41110,CITY,,5000
Chakapada,Odisha,MMTCC41111,CITY,,5000
Kherwada,Madhya Pradesh,MMTCC41112,CITY,,5000
Narayanavanam,Andhra Pradesh,MMTCC41113,CITY,,5000
Kodavalur,Andhra Pradesh,MMTCC41114,CITY,,5000
Saikheda,Madhya Pradesh,MMTCC41115,CITY,,5000
Vijayarai,Andhra Pradesh,MMTCC41116,CITY,,5000
Varkute,Maharashtra,MMTCC41117,CITY,,5000
Jajeli,Himachal Pradesh,MMTCC41118,CITY,,5000
Saktigarh,West Bengal,MMTCC41119,CITY,,5000
Ramtek,Maharashtra,MMTCC41120,CITY,,5000
Bandhu Chak,West Bengal,MMTCC41121,CITY,,5000
Kattehaklu,Karnataka,MMTCC41122,CITY,,5000
Pathorighat,Assam,MMTCC41123,CITY,,5000
Gopeshwar (uttarakhand),Uttarakhand,MMTCC49059,CITY,,5000
Bhuinj,Maharashtra,MMTCC41125,CITY,,5000
Tikkar,Himachal Pradesh,MMTCC41126,CITY,,5000
Sdar,Jharkhand,MMTCC41127,CITY,,5000
Vetlapalem,Andhra Pradesh,MMTCC41128,CITY,,5000
Shiroda (Maharashtra),Maharashtra,MMTCC49314,CITY,,5000
Warisaliganj,Bihar,MMTCC41130,CITY,,5000
Khairlanji,Madhya Pradesh,MMTCC41131,CITY,,5000
Mahendragarh,Haryana,MMTCC41132,CITY,,2967
Araimile,Meghalaya,MMTCC41133,CITY,,5000
Chand Kheri,Rajasthan,MMTCC41134,CITY,,5000
Tandoorwali,Rajasthan,MMTCC41135,CITY,,5000
Rattanthal,Haryana,MMTCC41136,CITY,,5000
Saraigarh,Bihar,MMTCC41137,CITY,,5000
Barhiya,Bihar,MMTCC41138,CITY,,5000
